Sens-1;Sens-2;Sens-3;Sens-4;Sens-5;Sens-6;Sens-7;Sens-8;Sens-9;Sens-10;Label
19.07;29.07;79.07;124.26;100.66;2.53;215.99;42.74;70.12;106.86;1
16.57;26.57;76.57;114.28;75.70;1.28;178.54;50.43;81.64;126.06;1
18.67;28.67;78.67;122.69;96.73;2.34;210.10;44.27;72.40;110.67;1
17.64;27.64;77.64;118.56;86.40;1.82;194.60;45.19;73.79;112.98;1
17.38;27.38;77.38;117.52;83.80;1.69;190.70;46.08;75.12;115.21;1
19.65;29.65;79.65;126.58;106.46;2.82;224.69;55.08;88.61;137.69;1
17.53;27.53;77.53;118.11;85.29;1.76;192.93;36.59;60.88;91.46;1
18.13;28.13;78.13;120.51;91.29;2.06;201.93;47.71;77.56;119.27;1
18.21;28.21;78.21;120.83;92.09;2.10;203.13;35.97;59.96;89.94;1
18.18;28.18;78.18;120.72;91.79;2.09;202.69;50.16;81.24;125.40;1
16.35;26.35;76.35;113.40;73.50;1.18;175.25;37.36;62.03;93.39;1
18.54;28.54;78.54;122.14;95.35;2.27;208.03;36.32;60.48;90.81;1
18.55;28.55;78.55;122.20;95.49;2.27;208.24;49.60;80.40;124.00;1
18.21;28.21;78.21;120.85;92.11;2.11;203.17;42.83;70.24;107.07;1
17.78;27.78;77.78;119.11;87.78;1.89;196.66;50.90;82.34;127.24;0
18.52;28.52;78.52;122.08;95.21;2.26;207.81;47.20;76.80;118.00;1
18.32;28.32;78.32;121.29;93.23;2.16;204.85;37.84;62.76;94.60;1
18.44;28.44;78.44;121.74;94.36;2.22;206.53;52.79;85.19;131.99;1
20.51;30.51;80.51;130.05;115.11;3.26;237.67;41.29;67.93;103.22;1
17.71;27.71;77.71;118.82;87.06;1.85;195.59;48.29;78.44;120.73;1
17.89;27.89;77.89;119.57;88.92;1.95;198.38;37.56;62.34;93.90;1
19.91;29.91;79.91;127.62;109.06;2.95;228.59;43.46;71.19;108.64;1
17.58;27.58;77.58;118.31;85.79;1.79;193.68;52.21;84.32;130.53;0
18.51;28.51;78.51;122.03;95.06;2.25;207.60;37.83;62.75;94.59;1
17.26;27.26;77.26;117.02;82.56;1.63;188.84;36.03;60.05;90.08;1
17.80;27.80;77.80;119.20;88.00;1.90;197.00;28.26;48.40;70.66;1
16.81;26.81;76.81;115.23;78.07;1.40;182.11;40.20;66.30;100.49;0
18.60;28.60;78.60;122.41;96.02;2.30;209.02;43.41;71.12;108.53;1
18.71;28.71;78.71;122.83;97.07;2.35;210.61;40.50;66.76;101.26;1
18.54;28.54;78.54;122.14;95.36;2.27;208.04;30.12;51.18;75.30;1
17.55;27.55;77.55;118.21;85.52;1.78;193.27;50.08;81.12;125.21;0
18.93;28.93;78.93;123.70;99.26;2.46;213.89;38.71;64.06;96.77;1
18.16;28.16;78.16;120.62;91.56;2.08;202.34;42.60;69.90;106.50;1
17.15;27.15;77.15;116.61;81.54;1.58;187.30;46.04;75.06;115.09;1
18.31;28.31;78.31;121.24;93.10;2.15;204.65;54.83;88.25;137.08;1
17.03;27.03;77.03;116.13;80.32;1.52;185.47;38.70;64.05;96.76;1
16.98;26.98;76.98;115.94;79.85;1.49;184.77;47.59;77.38;118.97;1
18.33;28.33;78.33;121.31;93.26;2.16;204.90;49.60;80.39;123.99;1
17.92;27.92;77.92;119.69;89.22;1.96;198.83;57.26;91.90;143.16;1
19.55;29.55;79.55;126.21;105.53;2.78;223.30;33.95;56.92;84.86;1
18.60;28.60;78.60;122.41;96.02;2.30;209.03;48.47;78.71;121.18;1
18.60;28.60;78.60;122.40;96.01;2.30;209.01;41.73;68.60;104.33;1
17.42;27.42;77.42;117.66;84.16;1.71;191.23;39.00;64.50;97.51;1
18.18;28.18;78.18;120.71;91.77;2.09;202.66;37.25;61.88;93.13;1
18.04;28.04;78.04;120.18;90.44;2.02;200.66;40.57;66.86;101.43;1
18.51;28.51;78.51;122.05;95.14;2.26;207.71;48.73;79.10;121.83;1
17.00;27.00;77.00;116.01;80.01;1.50;185.02;53.68;86.52;134.20;0
16.69;26.69;76.69;114.75;76.87;1.34;180.30;50.13;81.20;125.33;1
19.07;29.07;79.07;124.27;100.67;2.53;216.01;40.49;66.74;101.24;1
18.64;28.64;78.64;122.57;96.43;2.32;209.65;41.22;67.83;103.06;1
17.86;27.86;77.86;119.45;88.63;1.93;197.94;45.62;74.43;114.05;1
17.06;27.06;77.06;116.23;80.58;1.53;185.87;40.19;66.29;100.48;1
17.29;27.29;77.29;117.18;82.95;1.65;189.42;42.91;70.36;107.27;1
17.85;27.85;77.85;119.39;88.47;1.92;197.71;31.71;53.56;79.27;1
18.48;28.48;78.48;121.93;94.81;2.24;207.22;47.03;76.55;117.58;1
18.80;28.80;78.80;123.18;97.95;2.40;211.93;49.60;80.40;123.99;1
17.66;27.66;77.66;118.63;86.57;1.83;194.85;51.12;82.68;127.80;1
17.40;27.40;77.40;117.62;84.05;1.70;191.07;29.05;49.57;72.61;1
17.17;27.17;77.17;116.69;81.73;1.59;187.59;33.75;56.63;84.38;1
16.95;26.95;76.95;115.79;79.46;1.47;184.19;46.21;75.32;115.53;1
18.08;28.08;78.08;120.32;90.80;2.04;201.20;50.33;81.50;125.83;1
16.47;26.47;76.47;113.87;74.69;1.23;177.03;33.10;55.65;82.75;1
19.50;29.50;79.50;126.00;105.01;2.75;222.52;41.29;67.94;103.24;1
19.01;29.01;79.01;124.05;100.14;2.51;215.20;42.83;70.25;107.08;1
17.48;27.48;77.48;117.93;84.82;1.74;192.22;45.23;73.85;113.09;1
18.20;28.20;78.20;120.78;91.96;2.10;202.94;41.78;68.67;104.45;1
18.36;28.36;78.36;121.43;93.57;2.18;205.36;37.18;61.76;92.94;1
18.80;28.80;78.80;123.20;97.99;2.40;211.99;51.46;83.18;128.64;1
19.01;29.01;79.01;124.03;100.08;2.50;215.12;44.34;72.51;110.85;1
17.05;27.05;77.05;116.19;80.48;1.52;185.72;32.59;54.89;81.48;1
17.23;27.23;77.23;116.93;82.34;1.62;188.51;54.02;87.04;135.06;1
19.47;29.47;79.47;125.88;104.69;2.73;222.04;37.61;62.41;94.02;1
19.01;29.01;79.01;124.04;100.10;2.50;215.15;47.13;76.69;117.82;1
18.34;28.34;78.34;121.37;93.42;2.17;205.13;44.88;73.32;112.20;1
17.26;27.26;77.26;117.04;82.59;1.63;188.88;45.51;74.27;113.79;1
17.59;27.59;77.59;118.37;85.92;1.80;193.88;51.89;83.83;129.72;1
17.80;27.80;77.80;119.18;87.95;1.90;196.93;30.86;52.30;77.16;1
16.79;26.79;76.79;115.14;77.85;1.39;181.78;48.08;78.13;120.21;0
17.34;27.34;77.34;117.37;83.42;1.67;190.14;45.23;73.84;113.07;1
18.42;28.42;78.42;121.68;94.20;2.21;206.30;34.78;58.17;86.95;1
19.33;29.33;79.33;125.32;103.29;2.66;219.93;49.77;80.66;124.43;1
17.58;27.58;77.58;118.30;85.76;1.79;193.64;54.71;88.06;136.76;0
17.65;27.65;77.65;118.61;86.53;1.83;194.80;46.12;75.18;115.30;1
17.84;27.84;77.84;119.35;88.38;1.92;197.57;47.17;76.76;117.93;1
19.90;29.90;79.90;127.61;109.03;2.95;228.55;29.32;49.98;73.30;1
19.70;29.70;79.70;126.81;107.02;2.85;225.54;27.29;46.94;68.23;1
17.19;27.19;77.19;116.77;81.91;1.60;187.87;32.51;54.76;81.26;1
17.70;27.70;77.70;118.82;87.04;1.85;195.57;37.99;62.99;94.98;0
19.23;29.23;79.23;124.93;102.33;2.62;218.50;38.11;63.16;95.27;1
17.37;27.37;77.37;117.48;83.71;1.69;190.57;32.52;54.77;81.29;1
20.49;30.49;80.49;129.94;114.85;3.24;237.28;50.10;81.14;125.24;1
16.96;26.96;76.96;115.84;79.61;1.48;184.42;29.54;50.31;73.86;1
17.96;27.96;77.96;119.84;89.60;1.98;199.40;43.26;70.89;108.14;1
16.63;26.63;76.63;114.50;76.26;1.31;179.39;37.26;61.89;93.15;1
19.52;29.52;79.52;126.08;105.19;2.76;222.79;44.91;73.37;112.28;1
18.06;28.06;78.06;120.24;90.61;2.03;200.91;43.94;71.90;109.84;1
18.08;28.08;78.08;120.32;90.79;2.04;201.18;37.55;62.33;93.88;1
16.72;26.72;76.72;114.89;77.22;1.36;180.82;39.08;64.62;97.71;1
17.73;27.73;77.73;118.91;87.27;1.86;195.90;39.54;65.31;98.85;1
18.54;28.54;78.54;122.17;95.43;2.27;208.15;49.57;80.35;123.92;1
16.89;26.89;76.89;115.58;78.94;1.45;183.41;55.50;89.25;138.75;0
17.80;27.80;77.80;119.22;88.04;1.90;197.06;49.48;80.22;123.70;1
17.46;27.46;77.46;117.85;84.61;1.73;191.92;46.45;75.67;116.12;1
18.29;28.29;78.29;121.17;92.92;2.15;204.38;42.26;69.39;105.65;1
19.26;29.26;79.26;125.06;102.64;2.63;218.96;63.10;100.65;157.75;1
18.41;28.41;78.41;121.63;94.07;2.20;206.11;43.13;70.69;107.81;1
16.43;26.43;76.43;113.73;74.32;1.22;176.48;49.31;79.97;123.28;1
18.81;28.81;78.81;123.22;98.05;2.40;212.08;43.69;71.54;109.23;1
17.61;27.61;77.61;118.43;86.07;1.80;194.10;57.54;92.31;143.85;1
17.41;27.41;77.41;117.64;84.09;1.70;191.13;43.28;70.92;108.20;1
18.29;28.29;78.29;121.17;92.91;2.15;204.37;49.67;80.51;124.18;1
19.36;29.36;79.36;125.45;103.63;2.68;220.44;35.55;59.33;88.88;1
18.00;28.00;78.00;120.00;89.99;2.00;199.98;42.36;69.53;105.89;1
18.12;28.12;78.12;120.47;91.16;2.06;201.74;31.76;53.64;79.40;1
18.62;28.62;78.62;122.46;96.16;2.31;209.24;20.67;37.00;51.67;1
17.96;27.96;77.96;119.82;89.56;1.98;199.34;39.34;65.01;98.36;1
19.86;29.86;79.86;127.43;108.57;2.93;227.85;44.58;72.88;111.46;1
18.91;28.91;78.91;123.63;99.07;2.45;213.60;55.45;89.17;138.61;1
17.38;27.38;77.38;117.54;83.84;1.69;190.76;46.74;76.12;116.86;1
18.41;28.41;78.41;121.64;94.09;2.20;206.14;41.26;67.90;103.16;1
18.08;28.08;78.08;120.33;90.83;2.04;201.24;42.81;70.21;107.02;1
17.88;27.88;77.88;119.54;88.85;1.94;198.27;40.33;66.50;100.83;1
18.09;28.09;78.09;120.35;90.88;2.04;201.32;33.97;56.96;84.93;1
18.98;28.98;78.98;123.92;99.80;2.49;214.69;48.88;79.32;122.20;1
18.17;28.17;78.17;120.68;91.69;2.08;202.54;47.67;77.51;119.18;0
17.04;27.04;77.04;116.16;80.39;1.52;185.59;47.97;77.95;119.91;1
17.72;27.72;77.72;118.86;87.15;1.86;195.73;46.72;76.09;116.81;1
19.64;29.64;79.64;126.58;106.45;2.82;224.67;48.16;78.23;120.39;1
17.28;27.28;77.28;117.12;82.79;1.64;189.19;50.41;81.61;126.02;1
16.45;26.45;76.45;113.79;74.47;1.22;176.71;38.66;63.99;96.66;1
17.33;27.33;77.33;117.31;83.27;1.66;189.90;41.76;68.64;104.39;1
16.45;26.45;76.45;113.82;74.55;1.23;176.82;48.07;78.10;120.16;1
19.09;29.09;79.09;124.35;100.88;2.54;216.32;37.76;62.64;94.41;1
16.89;26.89;76.89;115.55;78.88;1.44;183.32;32.33;54.49;80.81;1
18.49;28.49;78.49;121.96;94.91;2.25;207.36;44.42;72.64;111.06;1
17.32;27.32;77.32;117.29;83.24;1.66;189.86;50.13;81.20;125.34;1
17.69;27.69;77.69;118.77;86.93;1.85;195.39;50.03;81.04;125.07;0
18.17;28.17;78.17;120.69;91.72;2.09;202.59;38.46;63.68;96.14;1
18.55;28.55;78.55;122.19;95.46;2.27;208.20;47.70;77.56;119.26;1
17.59;27.59;77.59;118.37;85.93;1.80;193.90;48.11;78.17;120.29;0
17.38;27.38;77.38;117.53;83.82;1.69;190.73;46.58;75.87;116.46;1
18.11;28.11;78.11;120.43;91.08;2.05;201.62;44.84;73.26;112.10;1
17.83;27.83;77.83;119.31;88.26;1.91;197.40;37.28;61.92;93.20;1
18.03;28.03;78.03;120.13;90.32;2.02;200.48;57.08;91.61;142.69;1
19.19;29.19;79.19;124.76;101.90;2.59;217.85;37.81;62.71;94.51;1
19.12;29.12;79.12;124.46;101.15;2.56;216.73;39.65;65.48;99.14;1
17.49;27.49;77.49;117.97;84.93;1.75;192.40;46.34;75.51;115.85;1
17.42;27.42;77.42;117.68;84.20;1.71;191.30;55.05;88.58;137.63;0
18.20;28.20;78.20;120.80;92.01;2.10;203.01;27.62;47.43;69.05;1
17.26;27.26;77.26;117.03;82.57;1.63;188.86;49.83;80.74;124.56;0
18.01;28.01;78.01;120.03;90.08;2.00;200.13;46.20;75.30;115.51;1
19.58;29.58;79.58;126.30;105.76;2.79;223.63;45.50;74.24;113.74;1
18.12;28.12;78.12;120.50;91.25;2.06;201.87;44.06;72.09;110.14;1
17.52;27.52;77.52;118.09;85.24;1.76;192.86;52.10;84.15;130.24;1
18.41;28.41;78.41;121.65;94.12;2.21;206.18;34.70;58.05;86.76;1
19.79;29.79;79.79;127.14;107.85;2.89;226.78;51.47;83.21;128.68;1
18.72;28.72;78.72;122.87;97.17;2.36;210.76;39.15;64.72;97.87;1
18.30;28.30;78.30;121.20;93.01;2.15;204.52;39.15;64.72;97.87;1
18.32;28.32;78.32;121.28;93.19;2.16;204.79;49.05;79.58;122.63;1
17.66;27.66;77.66;118.63;86.58;1.83;194.87;60.80;97.19;151.99;1
19.49;29.49;79.49;125.94;104.85;2.74;222.28;49.11;79.67;122.79;1
16.99;26.99;76.99;115.96;79.90;1.50;184.85;38.90;64.34;97.24;1
17.66;27.66;77.66;118.63;86.56;1.83;194.84;61.11;97.67;152.79;1
18.38;28.38;78.38;121.51;93.77;2.19;205.65;42.71;70.07;106.78;1
19.22;29.22;79.22;124.90;102.24;2.61;218.36;38.58;63.87;96.46;1
19.74;29.74;79.74;126.98;107.45;2.87;226.17;48.79;79.19;121.99;1
18.47;28.47;78.47;121.89;94.73;2.24;207.09;49.98;80.97;124.95;1
17.30;27.30;77.30;117.19;82.97;1.65;189.46;29.02;49.53;72.54;1
17.52;27.52;77.52;118.08;85.20;1.76;192.80;32.54;54.81;81.36;1
18.10;28.10;78.10;120.41;91.03;2.05;201.54;55.82;89.74;139.56;1
19.27;29.27;79.27;125.10;102.74;2.64;219.11;44.99;73.48;112.47;1
16.62;26.62;76.62;114.47;76.16;1.31;179.25;36.87;61.31;92.19;1
17.08;27.08;77.08;116.34;80.85;1.54;186.27;36.57;60.86;91.44;1
17.04;27.04;77.04;116.15;80.37;1.52;185.55;52.17;84.26;130.43;1
17.09;27.09;77.09;116.35;80.88;1.54;186.31;41.46;68.19;103.64;1
17.43;27.43;77.43;117.71;84.27;1.71;191.41;39.77;65.66;99.43;1
19.00;29.00;79.00;123.99;99.97;2.50;214.95;34.81;58.21;87.01;1
17.17;27.17;77.17;116.67;81.66;1.58;187.50;59.86;95.80;149.66;1
18.34;28.34;78.34;121.35;93.37;2.17;205.06;45.39;74.08;113.47;1
17.89;27.89;77.89;119.54;88.85;1.94;198.28;42.79;70.18;106.97;1
17.11;27.11;77.11;116.42;81.05;1.55;186.58;34.81;58.21;87.02;1
17.47;27.47;77.47;117.89;84.72;1.74;192.08;56.59;90.89;141.48;1
18.97;28.97;78.97;123.88;99.70;2.48;214.54;31.81;53.71;79.52;1
18.59;28.59;78.59;122.34;95.86;2.29;208.79;54.40;87.60;136.01;1
18.62;28.62;78.62;122.47;96.19;2.31;209.28;44.17;72.25;110.42;0
18.62;28.62;78.62;122.48;96.20;2.31;209.30;46.35;75.53;115.88;1
20.06;30.06;80.06;128.25;110.62;3.03;230.92;35.68;59.52;89.21;1
19.57;29.57;79.57;126.26;105.66;2.78;223.49;46.32;75.48;115.80;1
16.63;26.63;76.63;114.52;76.30;1.31;179.45;46.55;75.82;116.37;1
18.38;28.38;78.38;121.50;93.75;2.19;205.63;32.06;54.09;80.15;1
17.37;27.37;77.37;117.48;83.69;1.68;190.53;49.14;79.71;122.85;1
17.06;27.06;77.06;116.23;80.58;1.53;185.88;56.46;90.69;141.15;1
18.43;28.43;78.43;121.72;94.31;2.22;206.47;44.70;73.05;111.75;1
17.99;27.99;77.99;119.94;89.86;1.99;199.79;34.83;58.24;87.07;1
18.44;28.44;78.44;121.76;94.41;2.22;206.61;51.82;83.73;129.55;1
19.37;29.37;79.37;125.50;103.74;2.69;220.61;56.24;90.36;140.59;1
16.79;26.79;76.79;115.17;77.93;1.40;181.90;42.03;69.04;105.07;1
17.91;27.91;77.91;119.64;89.10;1.96;198.66;51.05;82.58;127.63;0
18.98;28.98;78.98;123.94;99.84;2.49;214.76;40.50;66.76;101.26;1
16.98;26.98;76.98;115.93;79.84;1.49;184.75;45.03;73.55;112.58;1
17.36;27.36;77.36;117.45;83.62;1.68;190.43;22.27;39.40;55.66;1
17.00;27.00;77.00;115.99;79.98;1.50;184.96;42.89;70.34;107.23;1
16.90;26.90;76.90;115.58;78.96;1.45;183.44;51.30;82.96;128.26;1
18.69;28.69;78.69;122.74;96.86;2.34;210.29;51.45;83.18;128.64;1
16.78;26.78;76.78;115.11;77.77;1.39;181.66;38.52;63.78;96.30;1
17.52;27.52;77.52;118.08;85.20;1.76;192.80;48.25;78.38;120.63;0
18.31;28.31;78.31;121.23;93.07;2.15;204.61;45.25;73.87;113.12;1
17.17;27.17;77.17;116.69;81.72;1.59;187.58;46.34;75.51;115.84;1
18.49;28.49;78.49;121.94;94.85;2.24;207.28;34.82;58.23;87.06;1
19.08;29.08;79.08;124.31;100.77;2.54;216.16;41.83;68.74;104.57;1
16.15;26.15;76.15;112.59;71.47;1.07;172.20;39.06;64.58;97.64;1
17.42;27.42;77.42;117.69;84.24;1.71;191.35;53.55;86.33;133.88;1
17.15;27.15;77.15;116.60;81.49;1.57;187.24;63.96;101.95;159.91;1
16.29;26.29;76.29;113.14;72.85;1.14;174.28;38.63;63.95;96.59;1
17.91;27.91;77.91;119.63;89.07;1.95;198.60;52.20;84.29;130.49;1
18.35;28.35;78.35;121.41;93.51;2.18;205.27;31.74;53.61;79.34;1
17.75;27.75;77.75;119.00;87.50;1.87;196.24;45.60;74.40;114.00;0
20.19;30.19;80.19;128.76;111.89;3.09;232.84;44.40;72.60;111.01;1
19.23;29.23;79.23;124.92;102.30;2.61;218.45;50.34;81.51;125.84;1
19.00;29.00;79.00;123.98;99.96;2.50;214.94;44.89;73.33;112.22;1
18.19;28.19;78.19;120.78;91.95;2.10;202.92;46.93;76.39;117.32;1
17.67;27.67;77.67;118.66;86.66;1.83;194.99;46.12;75.18;115.30;1
17.17;27.17;77.17;116.66;81.66;1.58;187.49;40.06;66.10;100.16;1
19.46;29.46;79.46;125.85;104.64;2.73;221.95;51.36;83.04;128.40;1
15.97;25.97;75.97;111.89;69.73;0.99;169.60;47.79;77.69;119.48;1
18.22;28.22;78.22;120.87;92.19;2.11;203.28;45.60;74.40;114.01;1
19.17;29.17;79.17;124.68;101.71;2.59;217.56;63.27;100.91;158.18;1
19.94;29.94;79.94;127.76;109.41;2.97;229.11;40.01;66.01;100.02;1
17.90;27.90;77.90;119.61;89.03;1.95;198.55;45.90;74.85;114.74;1
16.81;26.81;76.81;115.23;78.07;1.40;182.11;51.72;83.58;129.31;1
20.91;30.91;80.91;131.62;119.06;3.45;243.59;56.05;90.07;140.12;1
18.56;28.56;78.56;122.23;95.57;2.28;208.35;41.52;68.28;103.80;1
17.49;27.49;77.49;117.96;84.89;1.74;192.34;48.06;78.09;120.15;1
17.77;27.77;77.77;119.07;87.68;1.88;196.51;46.53;75.80;116.33;0
18.53;28.53;78.53;122.10;95.25;2.26;207.88;38.10;63.15;95.25;1
18.67;28.67;78.67;122.70;96.75;2.34;210.12;46.77;76.15;116.92;1
16.83;26.83;76.83;115.30;78.26;1.41;182.39;25.32;43.98;63.30;1
16.42;26.42;76.42;113.68;74.20;1.21;176.31;51.98;83.96;129.94;0
18.80;28.80;78.80;123.22;98.04;2.40;212.06;51.27;82.91;128.18;1
17.77;27.77;77.77;119.08;87.71;1.89;196.56;59.56;95.34;148.90;1
17.37;27.37;77.37;117.49;83.72;1.69;190.58;38.39;63.58;95.97;1
18.13;28.13;78.13;120.54;91.35;2.07;202.02;48.93;79.39;122.32;1
18.28;28.28;78.28;121.13;92.82;2.14;204.22;41.98;68.97;104.95;1
18.52;28.52;78.52;122.10;95.25;2.26;207.87;42.75;70.13;106.89;1
16.43;26.43;76.43;113.71;74.28;1.21;176.42;39.95;65.93;99.88;1
17.71;27.71;77.71;118.82;87.06;1.85;195.59;54.30;87.45;135.74;1
19.15;29.15;79.15;124.58;101.45;2.57;217.18;45.75;74.63;114.39;1
17.98;27.98;77.98;119.91;89.76;1.99;199.64;42.34;69.51;105.86;1
17.77;27.77;77.77;119.09;87.73;1.89;196.59;52.99;85.49;132.48;0
18.73;28.73;78.73;122.94;97.34;2.37;211.02;40.86;67.29;102.14;1
18.16;28.16;78.16;120.66;91.65;2.08;202.47;54.95;88.43;137.38;1
17.71;27.71;77.71;118.83;87.07;1.85;195.61;37.79;62.69;94.48;1
17.52;27.52;77.52;118.07;85.17;1.76;192.76;49.77;80.66;124.43;0
18.88;28.88;78.88;123.53;98.82;2.44;213.23;51.20;82.80;127.99;1
18.30;28.30;78.30;121.21;93.01;2.15;204.52;54.24;87.36;135.59;1
17.60;27.60;77.60;118.40;86.00;1.80;194.00;44.59;72.88;111.47;1
16.75;26.75;76.75;115.00;77.50;1.38;181.25;48.59;78.89;121.48;1
17.62;27.62;77.62;118.47;86.17;1.81;194.26;38.93;64.40;97.33;1
17.97;27.97;77.97;119.87;89.68;1.98;199.52;50.17;81.25;125.42;1
18.22;28.22;78.22;120.87;92.19;2.11;203.28;51.31;82.97;128.28;1
19.23;29.23;79.23;124.92;102.31;2.62;218.46;39.07;64.60;97.67;1
17.45;27.45;77.45;117.80;84.50;1.73;191.76;48.23;78.34;120.57;1
17.44;27.44;77.44;117.77;84.42;1.72;191.63;33.75;56.63;84.38;1
18.80;28.80;78.80;123.19;97.98;2.40;211.97;37.40;62.11;93.51;1
16.47;26.47;76.47;113.88;74.70;1.24;177.06;40.20;66.30;100.50;1
18.48;28.48;78.48;121.94;94.85;2.24;207.27;37.56;62.35;93.91;1
18.42;28.42;78.42;121.66;94.16;2.21;206.23;50.87;82.31;127.18;1
16.85;26.85;76.85;115.40;78.51;1.43;182.77;50.77;82.16;126.93;1
17.47;27.47;77.47;117.90;84.74;1.74;192.11;36.38;60.56;90.94;1
17.67;27.67;77.67;118.66;86.66;1.83;194.99;41.93;68.89;104.82;1
15.48;25.48;75.48;109.93;64.81;0.74;162.22;61.05;97.58;152.64;0
17.13;27.13;77.13;116.50;81.26;1.56;186.89;34.14;57.21;85.35;1
19.67;29.67;79.67;126.69;106.73;2.84;225.10;44.49;72.74;111.23;1
17.76;27.76;77.76;119.06;87.64;1.88;196.46;33.01;55.52;82.53;1
17.34;27.34;77.34;117.36;83.40;1.67;190.10;56.00;90.00;140.00;0
17.48;27.48;77.48;117.90;84.76;1.74;192.14;42.97;70.45;107.42;1
17.30;27.30;77.30;117.19;82.97;1.65;189.45;39.24;64.85;98.09;1
16.97;26.97;76.97;115.87;79.67;1.48;184.50;44.10;72.15;110.25;0
18.96;28.96;78.96;123.85;99.62;2.48;214.43;48.01;78.02;120.03;1
17.28;27.28;77.28;117.12;82.81;1.64;189.21;62.84;100.27;157.11;1
16.93;26.93;76.93;115.73;79.32;1.47;183.98;45.28;73.92;113.21;1
17.08;27.08;77.08;116.33;80.81;1.54;186.22;50.52;81.78;126.30;1
19.77;29.77;79.77;127.07;107.67;2.88;226.51;48.16;78.24;120.40;1
19.70;29.70;79.70;126.81;107.04;2.85;225.56;41.94;68.91;104.85;1
17.76;27.76;77.76;119.03;87.57;1.88;196.35;58.03;93.05;145.08;0
19.29;29.29;79.29;125.16;102.91;2.65;219.36;30.19;51.29;75.48;1
19.93;29.93;79.93;127.72;109.29;2.96;228.94;49.01;79.51;122.51;1
17.45;27.45;77.45;117.80;84.50;1.72;191.75;46.56;75.84;116.40;1
18.15;28.15;78.15;120.62;91.55;2.08;202.32;37.46;62.19;93.65;1
16.78;26.78;76.78;115.14;77.85;1.39;181.77;48.77;79.15;121.91;0
18.74;28.74;78.74;122.97;97.42;2.37;211.14;50.95;82.42;127.36;1
17.06;27.06;77.06;116.24;80.60;1.53;185.90;53.95;86.93;134.88;1
17.72;27.72;77.72;118.90;87.24;1.86;195.86;42.09;69.14;105.23;1
17.39;27.39;77.39;117.55;83.88;1.69;190.82;48.98;79.47;122.46;1
16.79;26.79;76.79;115.16;77.91;1.40;181.87;34.97;58.46;87.43;1
17.79;27.79;77.79;119.17;87.91;1.90;196.87;41.58;68.36;103.94;1
18.49;28.49;78.49;121.94;94.86;2.24;207.29;32.42;54.63;81.05;1
18.82;28.82;78.82;123.26;98.16;2.41;212.24;52.39;84.58;130.96;1
19.10;29.10;79.10;124.39;100.99;2.55;216.48;52.19;84.28;130.46;1
18.22;28.22;78.22;120.90;92.24;2.11;203.37;47.32;76.98;118.30;1
18.74;28.74;78.74;122.97;97.42;2.37;211.13;58.38;93.57;145.95;1
16.90;26.90;76.90;115.59;78.96;1.45;183.45;55.10;88.65;137.75;1
19.13;29.13;79.13;124.54;101.34;2.57;217.01;47.69;77.54;119.23;1
20.70;30.70;80.70;130.80;116.99;3.35;240.48;42.14;69.21;105.36;1
18.41;28.41;78.41;121.62;94.05;2.20;206.08;31.45;53.17;78.61;1
19.61;29.61;79.61;126.43;106.08;2.80;224.12;43.08;70.62;107.70;1
18.33;28.33;78.33;121.33;93.34;2.17;205.00;34.43;57.65;86.08;1
17.56;27.56;77.56;118.25;85.62;1.78;193.44;42.34;69.51;105.86;1
17.33;27.33;77.33;117.32;83.31;1.67;189.96;46.97;76.46;117.44;0
16.57;26.57;76.57;114.29;75.72;1.29;178.58;32.93;55.39;82.31;1
17.70;27.70;77.70;118.81;87.03;1.85;195.55;40.99;67.49;102.49;1
20.18;30.18;80.18;128.70;111.75;3.09;232.63;43.18;70.77;107.95;1
18.04;28.04;78.04;120.15;90.36;2.02;200.55;53.32;85.97;133.29;0
18.59;28.59;78.59;122.35;95.87;2.29;208.80;43.15;70.73;107.88;1
18.90;28.90;78.90;123.60;99.00;2.45;213.49;45.66;74.49;114.15;1
18.23;28.23;78.23;120.92;92.29;2.11;203.44;68.63;108.95;171.58;1
20.13;30.13;80.13;128.52;111.30;3.07;231.96;48.93;79.39;122.31;1
17.94;27.94;77.94;119.77;89.43;1.97;199.14;28.92;49.38;72.30;1
15.58;25.58;75.58;110.31;65.78;0.79;163.67;51.51;83.27;128.78;1
18.82;28.82;78.82;123.28;98.20;2.41;212.30;40.41;66.61;101.02;1
18.16;28.16;78.16;120.62;91.56;2.08;202.34;49.41;80.12;123.53;1
18.26;28.26;78.26;121.02;92.55;2.13;203.83;42.31;69.46;105.77;1
18.80;28.80;78.80;123.21;98.02;2.40;212.03;58.51;93.76;146.27;1
18.88;28.88;78.88;123.53;98.83;2.44;213.25;34.19;57.28;85.47;1
20.14;30.14;80.14;128.55;111.39;3.07;232.08;44.27;72.40;110.67;1
17.30;27.30;77.30;117.19;82.97;1.65;189.46;47.12;76.68;117.79;1
17.01;27.01;77.01;116.02;80.06;1.50;185.09;33.91;56.87;84.78;1
18.81;28.81;78.81;123.23;98.08;2.40;212.12;54.86;88.28;137.14;1
19.06;29.06;79.06;124.25;100.61;2.53;215.92;37.13;61.69;92.82;1
19.52;29.52;79.52;126.07;105.17;2.76;222.76;33.99;56.99;84.99;1
19.53;29.53;79.53;126.13;105.32;2.77;222.97;56.54;90.82;141.36;1
